0,998.347
1,924.385
2,909.326
3,853.126
4,803.755
5,764.079
6,778.278
7,812.241
8,804.876
9,773.563
10,741.478
11,707.941
12,760.497
13,771.514
14,784.727
15,747.552
16,776.199
17,773.927
18,749.184
19,741.118
20,716.936
21,717.746
22,781.525
23,737.721
24,710.933
25,731.554
26,704.559
27,739.675
28,783.019
29,726.162
30,719.34
31,688.951
32,680.356
33,742.602
34,683.306
35,691.068
36,689.441
37,660.409
38,664.722
39,665.048
40,651.299
41,631.901
42,670.616
43,682.381
44,693.403
45,664.076
46,695.047
47,655.044
48,661.09
49,677.226
50,737.452
